start_date,end_date,value,device
2024-11-02 04:45:31+01:00,2024-11-02 04:46:31+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-02 04:46:31+01:00,2024-11-02 04:49:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-02 04:49:31+01:00,2024-11-02 04:51:01+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-02 04:51:01+01:00,2024-11-02 04:52:01+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-02 04:52:01+01:00,2024-11-02 05:18:31+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-02 03:28:31+01:00,2024-11-02 05:18:31+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-02 05:18:31+01:00,2024-11-02 05:19:01+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-11-02 05:19:01+01:00,2024-11-02 06:43:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-02 05:19:01+01:00,2024-11-02 06:43:31+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-02 06:43:31+01:00,2024-11-02 06:45:31+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-11-02 06:45:31+01:00,2024-11-02 06:50:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-02 06:45:31+01:00,2024-11-02 06:50:31+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-02 06:50:31+01:00,2024-11-02 06:51:01+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-11-02 06:51:01+01:00,2024-11-02 06:53:01+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-02 06:53:01+01:00,2024-11-02 07:27:01+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-02 07:27:01+01:00,2024-11-02 07:58:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-02 06:51:01+01:00,2024-11-02 07:58:31+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
